;ESTACION;MAGNITUD;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
293;36;1;2021;7;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V
294;36;1;2021;8;4;V;5;V;5;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;5;V;6;V;6;V;6;V;5;V;5;V;5;V;6;V;6;V;6;V;6;V;6;V;6;V;5;V;6;V;6;V;6;V;6;V;6;V;6;V
295;36;1;2021;9;5;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;3;V;1;V;1;V;1;V;1;V;1;V;0;N
296;36;1;2021;10;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V
297;36;1;2021;11;1;V;1;V;1;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;0;N
298;36;1;2021;12;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V
299;36;8;2021;1;20;V;29;V;37;V;37;V;63;V;38;V;32;V;21;V;14;V;17;V;49;V;72;V;95;V;107;V;132;V;135;V;92;V;91;V;70;V;66;V;24;V;25;V;15;V;15;V;23;V;30;V;36;N;35;V;33;V;11;V;11;V
300;36;8;2021;2;23;V;24;V;34;V;39;V;30;V;29;V;13;V;23;V;23;V;27;V;39;V;31;V;35;V;33;V;33;V;47;V;57;V;58;V;53;V;33;V;16;V;25;V;43;V;39;V;30;V;37;V;34;V;17;V;0;N;0;N;0;N
301;36;8;2021;3;38;V;36;V;48;V;51;V;40;V;27;V;23;V;41;V;21;V;44;V;40;V;31;V;36;V;21;V;20;V;13;V;10;V;16;V;15;V;9;V;15;V;35;V;58;V;51;V;56;V;33;V;18;V;15;V;28;V;26;V;24;V
302;36;8;2021;4;20;V;20;V;29;V;23;V;35;V;42;V;20;V;22;V;25;V;21;V;15;V;22;V;37;V;25;V;21;V;22;V;14;V;17;V;38;V;32;V;22;V;32;V;23;V;14;V;19;V;31;V;38;V;29;V;19;V;29;V;0;N
303;36;8;2021;5;18;V;13;V;13;V;31;V;42;V;30;V;33;V;26;V;12;V;18;V;15;V;14;V;17;V;19;V;17;V;9;V;18;V;30;V;13;V;28;V;39;V;11;V;9;V;19;V;15;V;21;V;21;V;23;V;21;V;11;V;19;V
